	all	with	with_clust1	with_clust2	with_clust3	with_clust4	with_clust5	wo	wo_clust1	wo_clust2	wo_clust3	wo_clust4	wo_clust5
MA0138.2.REST	1.33269580778e-117	5.63312019658e-73	5.07836668249e-07	5.48297648152e-07	3.14331148779e-27	9.68589385898e-20	2.2973373211e-19	4.7031995599e-48	8.98367674784e-10	4.3350317637e-06	6.8458330029e-07	3.27163753807e-11	1.49612695762e-24
MA0039.2.Klf4	0.0	1.48111640252e-288	2.61713880026e-29	6.66537815302e-39	2.40436553677e-67	4.57826557427e-96	2.96408245179e-84	8.95853175642e-192	9.72264998954e-32	1.39030057724e-19	1.81468624881e-35	3.19726647766e-57	2.00136934838e-56
UP00263_1_Hoxb8_3780.2	0.99999999997	0.999999999998	1.0	1.0	0.999999999999	1.0	1.0	1.0	0.999999999997	1.0	1.0	1.0	1.0
UP00176_1_Crx_3485.1	0.9999919517	0.973123539482	0.4546012696	0.887548613269	0.688970374138	0.989504368553	0.679125020455	0.984317769559	0.980412965738	0.886152883248	0.313444287247	0.619167796791	0.989203399474
UP00139_1_Nkx1-2_3214.1	0.999999999949	0.999999999991	1.0	0.999999999807	0.999999999792	1.0	1.0	1.0	0.999999999876	0.999996936776	0.999999998283	0.999999816086	1.0
UP00218_1_Dbx2_3487.1	0.999999999948	0.99999999998	1.0	1.0	0.999999999999	1.0	1.0	1.0	0.999999999998	1.0	1.0	1.0	1.0
MA0080.3.Spi1	2.33104254649e-203	8.91728601774e-75	0.000274252342441	0.000340158976843	1.02140226642e-39	2.58257433171e-13	5.43611622558e-29	3.92803646596e-132	8.54619817033e-11	3.32705964821e-05	2.46077118483e-26	2.35599410175e-22	3.54326567415e-85
MA0153.1.HNF1B	0.999999999929	0.999999999992	1.0	1.0	0.999999999997	1.0	1.0	1.0	0.999999999998	0.999999978259	0.999999999463	1.0	1.0
MA0509.1.Rfx1	1.34293633714e-44	4.30028652692e-27	0.00501113981886	0.00033484173487	8.31909113075e-08	1.5983263918e-09	8.71350703253e-07	6.44686243416e-40	0.00632653632512	0.65305317054	2.13514257829e-06	1.19423167387e-09	2.86931390043e-20
UP00190_1_Nkx2-3_3435.1	0.999999999929	0.99999999999	0.999996229123	0.999997057785	0.99984999901	0.999964263597	0.999999999221	0.999999997858	0.999814677738	0.993587051373	0.985501639954	0.999999513316	0.999814750271
