FACTOR	P-VALUE	CORR.P-VALUE	A	B	C	D	FREQ	BACK.FREQ.	GENES
UP00200_1_Nkx6-1_2825.1	0.885915528706	0.925657777638	57.0	649.0	75.0	696.0	8.07%	9.73%	NA
UP00225_1_Hlx1_2350.1	0.886313559611	0.925657777638	47.0	659.0	63.0	708.0	6.66%	8.17%	NA
UP00209_1_Cart1_0997.1	0.888659378885	0.925657777638	33.0	673.0	46.0	725.0	4.67%	5.97%	NA
MA0476.1.FOS	0.889319972318	0.925657777638	218.0	488.0	260.0	511.0	30.88%	33.72%	NA
MA0491.1.JUND	0.896699940439	0.931336418825	220.0	486.0	263.0	508.0	31.16%	34.11%	NA
MA0462.1.BATF::JUN	0.899017723312	0.931744278551	178.0	528.0	216.0	555.0	25.21%	28.02%	NA
UP00133_1_Cdx2_4272.1	0.902374357538	0.933224762924	72.0	634.0	94.0	677.0	10.2%	12.19%	NA
UP00175_1_Lhx9_3492.1	0.907080963953	0.936092082203	33.0	673.0	47.0	724.0	4.67%	6.1%	NA
UP00128_1_Pou3f2_2824.1	0.909409081544	0.936497862697	45.0	661.0	62.0	709.0	6.37%	8.04%	NA
UP00196_1_Hoxa4_3426.1	0.924268528373	0.949779124698	49.0	657.0	68.0	703.0	6.94%	8.82%	NA
UP00144_1_Hoxb4_2627.1	0.932460663315	0.956167290348	38.0	668.0	55.0	716.0	5.38%	7.13%	NA
UP00235_1_Hoxc11_3718.2	0.935668757617	0.957428496166	37.0	669.0	54.0	717.0	5.24%	7.0%	NA
UP00260_1_Hoxc6_3954.2	0.940969570241	0.959007864855	47.0	659.0	67.0	704.0	6.66%	8.69%	NA
UP00113_1_Hoxc4_3491.1	0.94117507398	0.959007864855	39.0	667.0	57.0	714.0	5.52%	7.39%	NA
UP00206_1_Hoxb7_3953.1	0.946199435131	0.962101946646	41.0	665.0	60.0	711.0	5.81%	7.78%	NA
UP00217_1_Hoxa10_2318.1	0.956035330473	0.969839786122	89.0	617.0	120.0	651.0	12.61%	15.56%	NA
UP00252_1_Hoxc5_2630.2	0.957816978856	0.969839786122	40.0	666.0	60.0	711.0	5.67%	7.78%	NA
MA0004.1.Arnt	1.0	1.0	0.0	706.0	0.0	771.0	0.0%	0.0%	NA
MA0006.1.Arnt::Ahr	1.0	1.0	0.0	706.0	0.0	771.0	0.0%	0.0%	NA
MA0075.1.Prrx2	1.0	1.0	0.0	706.0	0.0	771.0	0.0%	0.0%	NA
MA0130.1.ZNF354C	1.0	1.0	0.0	706.0	0.0	771.0	0.0%	0.0%	NA
MA0132.1.Pdx1	1.0	1.0	0.0	706.0	0.0	771.0	0.0%	0.0%	NA
MA0161.1.NFIC	1.0	1.0	0.0	706.0	0.0	771.0	0.0%	0.0%	NA
